date,ETF,Method,model,hyperparam_method,train_period,val_period,RMSE
2019-01-03,XLP,shap,LGBMR,random,60,12,0.039909305881294585
2019-01-03,XLP,shap,RFR,optuna,36,12,0.0398627325589036
2019-01-03,XLP,shap,RFR,optuna,60,12,0.03986369197823533
2019-01-03,XLP,shap,RFR,random,36,12,0.04020671169891879
2019-01-03,XLP,shap,RFR,random,60,12,0.04020671169891879
2019-01-03,XLP,shap,XGBR,optuna,36,12,0.040521105057800516
2019-01-03,XLP,shap,XGBR,optuna,60,12,0.04048221767821512
2019-01-03,XLP,shap,XGBR,random,36,12,0.039487007040506644
2019-01-03,XLP,shap,XGBR,random,60,12,0.039487007040506644
2019-01-03,XLU,causal,LGBMR,optuna,36,12,0.04597855711527457
2019-01-03,XLU,causal,LGBMR,optuna,60,12,0.041973088534353484
2019-01-03,XLU,causal,LGBMR,random,36,12,0.04627617053157222
2019-01-03,XLU,causal,LGBMR,random,60,12,0.04639932427041329
2019-01-03,XLU,causal,RFR,optuna,36,12,0.04196715280138971
2019-01-03,XLU,causal,RFR,optuna,60,12,0.041011676892839584
2019-01-03,XLU,causal,RFR,random,36,12,0.0426119623363756
2019-01-03,XLU,causal,RFR,random,60,12,0.04225343792528406
2019-01-03,XLU,causal,XGBR,optuna,36,12,0.04031194045438774
2019-01-03,XLU,causal,XGBR,optuna,60,12,0.041291740656480606
2019-01-03,XLU,causal,XGBR,random,36,12,0.042610580927850084
2019-01-03,XLU,causal,XGBR,random,60,12,0.04219655196938984
2019-01-03,XLU,selectkbest,LGBMR,optuna,36,12,0.04149277581868392
2019-01-03,XLU,selectkbest,LGBMR,optuna,60,12,0.04102100747063817
2019-01-03,XLU,selectkbest,LGBMR,random,36,12,0.041367319629367356
2019-01-03,XLU,selectkbest,LGBMR,random,60,12,0.041367319629367356
2019-01-03,XLU,selectkbest,RFR,optuna,36,12,0.044323927312258926
2019-01-03,XLU,selectkbest,RFR,optuna,60,12,0.04469755836460695
2019-01-03,XLU,selectkbest,RFR,random,36,12,0.04416574057731824
2019-01-03,XLU,selectkbest,RFR,random,60,12,0.04416574057731824
2019-01-03,XLU,selectkbest,XGBR,optuna,36,12,0.041842554783287536
2019-01-03,XLU,selectkbest,XGBR,optuna,60,12,0.04223918171448431
2019-01-03,XLU,selectkbest,XGBR,random,36,12,0.042371840706715194
2019-01-03,XLU,selectkbest,XGBR,random,60,12,0.042371840706715194
2019-01-03,XLU,shap,LGBMR,optuna,36,12,0.04326401686173262
2019-01-03,XLU,shap,LGBMR,optuna,60,12,0.043473478046888565
2019-01-03,XLU,shap,LGBMR,random,36,12,0.04376814092291777
2019-01-03,XLU,shap,LGBMR,random,60,12,0.04376814092291777
2019-01-03,XLU,shap,RFR,optuna,36,12,0.04128617524965528
2019-01-03,XLU,shap,RFR,optuna,60,12,0.039762279704391945
2019-01-03,XLU,shap,RFR,random,36,12,0.042043374501186837
2019-01-03,XLU,shap,RFR,random,60,12,0.042043374501186837
2019-01-03,XLU,shap,XGBR,optuna,36,12,0.04307561946178565
2019-01-03,XLU,shap,XGBR,optuna,60,12,0.04126834289457386
2019-01-03,XLU,shap,XGBR,random,36,12,0.04433025729772081
2019-01-03,XLU,shap,XGBR,random,60,12,0.04433025729772081
2019-01-03,XLV,causal,LGBMR,optuna,36,12,0.035664432976542385
2019-01-03,XLV,causal,LGBMR,optuna,60,12,0.035836349026049645
2019-01-03,XLV,causal,LGBMR,random,36,12,0.03620429648552849
2019-01-03,XLV,causal,LGBMR,random,60,12,0.036076831930940516
2019-01-03,XLV,causal,RFR,optuna,36,12,0.03464416978638345
2019-01-03,XLV,causal,RFR,optuna,60,12,0.03532833123631988
2019-01-03,XLV,causal,RFR,random,36,12,0.03556759294907991
2019-01-03,XLV,causal,RFR,random,60,12,0.03471368734498425
2019-01-03,XLV,causal,XGBR,optuna,36,12,0.03658993709103723
2019-01-03,XLV,causal,XGBR,optuna,60,12,0.036766235654241905
2019-01-03,XLV,causal,XGBR,random,36,12,0.03501857315582202
2019-01-03,XLV,causal,XGBR,random,60,12,0.03513784871004334
2019-01-03,XLV,selectkbest,LGBMR,optuna,36,12,0.03644938341334181
2019-01-03,XLV,selectkbest,LGBMR,optuna,60,12,0.03632618310994478
2019-01-03,XLV,selectkbest,LGBMR,random,36,12,0.03630365647289947
2019-01-03,XLV,selectkbest,LGBMR,random,60,12,0.03630365647289947
2019-01-03,XLV,selectkbest,RFR,optuna,36,12,0.0360302218594028
2019-01-03,XLV,selectkbest,RFR,optuna,60,12,0.03612782962493126
2019-01-03,XLV,selectkbest,RFR,random,36,12,0.0358838200206988
2019-01-03,XLV,selectkbest,RFR,random,60,12,0.0358838200206988
