date,Method,model,hyperparam_method,train_period,val_period,RMSE
2019-11-01,selectkbest,RFR,random,60,12,0.03878652502496411
2019-11-01,selectkbest,XGBR,optuna,36,12,0.039381315128003365
2019-11-01,selectkbest,XGBR,optuna,60,12,0.038735538058787454
2019-11-01,selectkbest,XGBR,random,36,12,0.03902002819845543
2019-11-01,selectkbest,XGBR,random,60,12,0.03902002819845543
2019-11-01,shap,LGBMR,optuna,36,12,0.03870436456505578
2019-11-01,shap,LGBMR,optuna,60,12,0.03878505046888579
2019-11-01,shap,LGBMR,random,36,12,0.03856826411076599
2019-11-01,shap,LGBMR,random,60,12,0.03856826411076599
2019-11-01,shap,RFR,optuna,36,12,0.037535042955823404
2019-11-01,shap,RFR,optuna,60,12,0.03755776562546214
2019-11-01,shap,RFR,random,36,12,0.03763862988528478
2019-11-01,shap,RFR,random,60,12,0.03763862988528478
2019-11-01,shap,XGBR,optuna,36,12,0.03938693743828544
2019-11-01,shap,XGBR,optuna,60,12,0.03901078299378482
2019-11-01,shap,XGBR,random,36,12,0.038481854484798496
2019-11-01,shap,XGBR,random,60,12,0.038481854484798496
2019-12-02,causal,LGBMR,optuna,36,12,0.03520779155873134
2019-12-02,causal,LGBMR,optuna,60,12,0.03512179509305772
2019-12-02,causal,LGBMR,random,36,12,0.03512465914090745
2019-12-02,causal,LGBMR,random,60,12,0.03523590216862281
2019-12-02,causal,RFR,optuna,36,12,0.03476797276628069
2019-12-02,causal,RFR,optuna,60,12,0.03489784717157264
2019-12-02,causal,RFR,random,36,12,0.03503942992633465
2019-12-02,causal,RFR,random,60,12,0.034775473873993434
2019-12-02,causal,XGBR,optuna,36,12,0.03577450637828717
2019-12-02,causal,XGBR,optuna,60,12,0.03533757950181387
2019-12-02,causal,XGBR,random,36,12,0.03531220905013936
2019-12-02,causal,XGBR,random,60,12,0.03538940970223018
2019-12-02,selectkbest,LGBMR,optuna,36,12,0.03538007045995823
2019-12-02,selectkbest,LGBMR,optuna,60,12,0.03535872815408319
2019-12-02,selectkbest,LGBMR,random,36,12,0.035356511469541115
2019-12-02,selectkbest,LGBMR,random,60,12,0.035356511469541115
2019-12-02,selectkbest,RFR,optuna,36,12,0.03622054055397389
2019-12-02,selectkbest,RFR,optuna,60,12,0.036111229159939716
2019-12-02,selectkbest,RFR,random,36,12,0.036157583148074525
2019-12-02,selectkbest,RFR,random,60,12,0.036157583148074525
2019-12-02,selectkbest,XGBR,optuna,36,12,0.03572730339123233
2019-12-02,selectkbest,XGBR,optuna,60,12,0.035679550480015136
2019-12-02,selectkbest,XGBR,random,36,12,0.03588446592768049
2019-12-02,selectkbest,XGBR,random,60,12,0.03588446592768049
2019-12-02,shap,LGBMR,optuna,36,12,0.035526772437633546
2019-12-02,shap,LGBMR,optuna,60,12,0.03558789523354058
2019-12-02,shap,LGBMR,random,36,12,0.03567838857159946
2019-12-02,shap,LGBMR,random,60,12,0.03567838857159946
2019-12-02,shap,RFR,optuna,36,12,0.03525225936587754
2019-12-02,shap,RFR,optuna,60,12,0.03509220526186398
2019-12-02,shap,RFR,random,36,12,0.03524994363222515
2019-12-02,shap,RFR,random,60,12,0.03524994363222516
2019-12-02,shap,XGBR,optuna,36,12,0.035952491689432146
2019-12-02,shap,XGBR,optuna,60,12,0.03582871175140532
2019-12-02,shap,XGBR,random,36,12,0.03520479831589105
